Aging,Temperature,SOC,Frequency,Z_real,Z_imag
0,22.5,0,2440.7808,3.087708,0.16362245
0,22.5,0,1930.6177,3.1600227,0.24638216999999998
0,22.5,0,1525.4882,3.2415562,0.31143185
0,22.5,0,1206.9312,3.3202921,0.36720201
0,22.5,0,954.08411,3.3927627,0.42081438
0,22.5,0,754.27557,3.480511,0.45915427999999997
0,22.5,0,596.71857,3.566961,0.49564848000000006
0,22.5,0,471.35751,3.6562353,0.52800012
0,22.5,0,372.7338,3.7465672999999997,0.55461109
0,22.5,0,294.71707,3.8446989,0.57817198
0,22.5,0,232.98701,3.9443452999999997,0.59355568
0,22.5,0,184.11626,4.05169,0.60664362
0,22.5,0,145.60574,4.1575725,0.61023375
0,22.5,0,115.18433,4.2654392,0.61077392
0,22.5,0,91.078392,4.371748800000001,0.5998504299999999
0,22.5,0,71.957245,4.4800979,0.58010156
0,22.5,0,56.912251,4.5807497,0.55352942
0,22.5,0,44.956841,4.6759606,0.5179466699999999
0,22.5,0,35.557541,4.7638253,0.47244303
0,22.5,0,28.102516,4.837669,0.42544713
0,22.5,0,22.226173,4.8958836,0.37308654
0,22.5,0,17.556183,4.9459646,0.32265589
0,22.5,0,13.884776,4.9807155,0.27984899
0,22.5,0,10.988047,5.0120312,0.23949276
0,22.5,0,8.6805573,5.0310711,0.20040604
0,22.5,0,6.8651142,5.0500995,0.17902637999999998
0,22.5,0,5.4253473,5.0637969,0.15742811
0,22.5,0,4.292582,5.0749932,0.14018708000000002
0,22.5,0,3.3908424,5.0893687000000005,0.12796726
0,22.5,0,2.6847081,5.0960011,0.121943
0,22.5,0,2.1229622,5.1024337,0.11892674
0,22.5,0,1.6765022,5.1078931,0.11436813
0,22.5,0,1.3259507,5.118323,0.11765887
0,22.5,0,1.047814,5.1305965,0.12074220000000001
0,22.5,0,0.82777089,5.1418273,0.1357603
0,22.5,0,0.65497148,5.1556272000000005,0.15669591000000002
0,22.5,0,0.5175212,5.1606265,0.18070469
0,22.5,0,0.40911707,5.1718601,0.20180567
0,22.5,0,0.3236866,5.1895663999999995,0.23151842
0,22.5,0,0.25591263,5.2123311999999995,0.27194334000000003
0,22.5,0,0.20234396,5.237463399999999,0.31657281
